"","fldCruiseName","fldCruiseStationNumber","fldShotLonDecimalDegrees","fldShotLatDecimalDegrees","fldShotShipsHeading","fldShotDepth","Warp_m","fldGearCode","SweepLngt_m","fldValidityCode","fldWindSpeed","ObsHeave_m","ObsPitch_deg","ObsRoll_deg","door_dist_Median","door_dist_sd","wing_dist_Median","wing_dist_sd","TS_fish_density_Median","TS_fish_density_sd","TS_opening_Median","TS_opening_sd","TS_clearance_Median","TS_clearance_sd","TS_height_Median","TS_height_sd","TEY_fish_density_Median","TEY_fish_density_sd","TEY_height_Median","TEY_height_sd","TEY_opening_Median","TEY_opening_sd","TEY_clearance_Median","TEY_clearance_sd","TSP_along_speed_Median","TSP_along_speed_sd","TSP_across_speed_Median","TSP_across_speed_sd"
"54","IGFS2018",64,-11.211,53.226,241,150,474,"101010101","L","V","18",5.6,13.95,5.6,117.56,3.16877902050398,22.5,0.4035571763876,2,1.25986552714836,4,1.38250436915798,0,1.72740584042313,4,3.67232211540173,0,1.34038483037764,3.81,0.921227006671306,3.81,0.412891717047746,0,0.495204098664269,2.29,0.331818505462513,0,0.0386352686373989
"55","IGFS2018",65,-11.642,53.162,175,164,513,"101010101","L","V","18",5.28,6.71,5.28,123.81,1.7863504133275,23.63,0.384693001066345,1,2.15441916045631,3.88,0.177747596332391,0,0,3.88,0.178399654656642,0,1.02698761819001,3.81,0.855117856461942,3.75,0.293110751574722,0,0.688090934067962,2.36,0.107310186797322,0.03,0.0260362029637409
"56","IGFS2018",66,-12.081,52.982,175,238,704,"101010101","L","V","26",5.6,5.39,5.6,131.56,6.12626903001466,24.69,0.589435595748891,1,2.11614825898258,3.88,1.04705514849303,0,0.543381442707416,3.88,1.50852323897099,0,0.891667922820942,3.75,0.237077826162752,3.75,0.301229304188681,0,0.00815692546679606,2.33,0.196324440252285,-0.01,0.0290658505434878
"57","IGFS2018",67,-12.326,53.114,13,320,923,"101010101","L","V","19",6.84,7.18,6.84,22.38,64.4062991295567,25.19,0.374874014213164,0,0.937025320682599,3.81,0.588243086602328,0,0.284593372882622,3.81,0.964607936714138,0,0.633347462281427,3.63,0.33422433602657,3.63,0.239508023045695,0,0.215807176174136,2.32,0.139097160324306,0.04,0.0490387676531163
"58","IGFS2018",68,-10.914,52.748,39,130,427,"101010101","L","V","25",4.78,110.5,4.78,116.03,2.43183252385548,22.69,0.243083968005122,3,1.51245165927962,4.06,0.711802739660318,0,1.47237116798922,4.06,1.53412014358016,1,1.77610446327872,3.88,0.47138806562008,3.88,0.212098851705847,0,0.510635504401011,3.13,0.743125363955444,1.46,0.103299415442534
"59","IGFS2018",69,-10.6,52.679,78,119,416,"101010101","L","V","22",4.25,3.76,4.25,116.845,1.39535338444661,22.63,0.337637711023151,4,1.15890841135067,3.88,1.03081314166391,0,1.87969370077232,3.88,2.55911814037595,0,1.33497373837648,3.69,1.12672604526354,3.69,0.376826133539924,0,0.539392817333984,2.41,0.0789843877458779,0.01,0.0216249956614279
"60","IGFS2018",70,-10.437,52.892,49,114,390,"101010101","L","V","16",4.32,8.51,4.32,113.31,2.35490606872184,22.13,0.341196909217887,0,1.15307937223582,4,0.985331925156668,0,0.710129548479046,4,1.41333680439394,0,0.958042405297451,3.75,0.346512061577962,3.75,0.188539502905466,0,0.22566949916622,2.25,0.176264183215839,0,0.0381660301246766
"61","IGFS2018",71,-10.184,53.064,352,108,390,"101010101","L","V","23",5.32,3.9,5.32,115.94,1.8598762203838,22.81,0.349072410499179,2,1.18067152653832,4,0.869790295957614,0,2.24213632104834,4,2.79870778453345,0,1.72050180445254,3.69,0.450734139738934,3.69,0.369299614076444,0,0.159008510821872,2.27,0.0875334476134737,-0.04,0.0544928302638973
"62","IGFS2018",72,-9.932,53.12,121,92,336,"101010101","L","V","22",4.12,3.21,4.12,108.31,3.8473172253424,21.75,0.690840550628313,2,1.03948492822782,4.25,0.852560754451903,0,0.776157711116142,4.25,1.71855073691198,0,1.50169468688258,4,0.210079923117693,4,0.162956746229615,0,0.110255311972707,2.14,0.189337068892002,-0.05,0.0262953759968406
"63","IGFS2018",74,-9.918,52.922,122,101,366,"101010101","L","V","19",5.89,3.45,5.89,115.38,3.78128948482982,22.88,0.631693915807758,1,1.13086255708304,4.13,1.04759758077772,0,3.15937462573214,4.13,3.94511302577359,0,0.76280665607351,3.81,0.788243938636368,3.81,0.31652098590384,0,0.644064732989452,2.09,0.116279423277519,-0.01,0.0382084931408142
"64","IGFS2018",75,-9.61,52.8,194,60,273,"101010101","S","V","21",8.18,4.59,8.18,72.88,51.7149639506494,21.69,0.288337348979605,2,1.39906072232027,4.19,0.529040524927692,0,0.377719905316981,4.19,0.514802836678142,2,1.7244803783938,4.38,0.173509348231542,4.38,0.177469747708623,0,0,2.14,0.0802649869769804,0.06,0.031636765886421
"65","IGFS2018",76,-10.075,52.583,254,85,324,"101010101","L","V","29",7.82,9.04,7.82,108.53,3.67199980354347,21.81,0.528226699158283,1,1.20939848537725,4.31,1.36876579241489,0,1.56666152148343,4.31,2.85292918849568,0,0.944901255303961,4.06,1.64754600258943,4.06,0.231156789601721,0,1.50948852649344,2.1,0.0913442934717194,0.04,0.0375904701072242
